REPORTE PÁGINA WEB: http://www.gva.es/es/inicio/administraciones
FECHA EVALUACIÓN: 2018-11-27

ALERTAS
Accesskey	  VECES ENCONTRADO: 8
Underlined text	  VECES ENCONTRADO: 1
A nearby image has the same alternative text	  VECES ENCONTRADO: 1
Suspicious alternative text	  VECES ENCONTRADO: 1
Redundant alternative text	  VECES ENCONTRADO: 6
Redundant title text	  VECES ENCONTRADO: 11
Unlabeled form element with title	  VECES ENCONTRADO: 2



CARACTERISTICAS
Element language	  VECES ENCONTRADO: 6
Linked image with alternative text	  VECES ENCONTRADO: 3
Alternative text	  VECES ENCONTRADO: 2
Image button with alternative text	  VECES ENCONTRADO: 2



